home_team,away_team,home_score,away_score
Belgrano,Rosario Central,2,1
Sarmiento,Argentinos,2,3
Defensa y Justicia,Aldosivi,1,1
Gimnasia (Mza.),Central Córdoba,1,0
Racing,Gimnasia,2,1
Vélez,Instituto,1,0
Huracán,Banfield,1,0
Platense,Unión,2,2
Estudiantes (Río Cuarto),Tigre,1,0
Newell's,Talleres,1,0
River,Barracas Central,0,1
Lanús,San Lorenzo,1,0
Atlético Tucumán,Ind. Rivadavia Mza.,0,0
Estudiantes,Independiente,0,2
Deportivo Riestra,Boca,3,0
Banfield,Sarmiento,3,2
San Lorenzo,Gimnasia (Mza.),1,0
Rosario Central,Racing,0,0
Argentinos,Estudiantes (Río Cuarto),3,0
Barracas Central,Aldosivi,1,0
Defensa y Justicia,Deportivo Riestra,2,1
Gimnasia,River,1,0
Instituto,Platense,2,1
Independiente Rivadavia Mza.,Huracán,2,1
Talleres,Vélez,1,3
Independiente,Newell's,1,0
Central Córdoba,Atlético Tucumán,0,2
Gimnasia (Mza.),Unión,2,0
Estudiantes (Río Cuarto),Banfield,0,0
Belgrano,Argentinos,0,1
Estudiantes,Defensa y Justicia,3,0
Racing,Tigre,1,3
Deportivo Riestra,Barracas Central,0,1
Aldosivi,Gimnasia,1,2
Newell's,Boca,2,2
River,Rosario Central,0,1
Lanús,Instituto,0,1
Sarmiento,Independiente Rivadavia Mza.,2,1
Platense,Talleres,0,4
Vélez,Independiente,1,0
Huracán,Atlético Tucumán,0,0
Central Córdoba,San Lorenzo,1,0
Boca,Estudiantes,1,0
Tigre,Belgrano,0,0
Unión,Lanús,2,1
Rosario Central,Aldosivi,2,1
Independiente Rivadavia Mza.,Estudiantes (Río Cuarto),2,1
Deportivo Riestra,Estudiantes,2,0
Atlético Tucumán,Sarmiento,1,2
